uf;mrt;mercado;nivel;uso;vti_min;vti_mediano;vti_max;vtn_min;vtn_mediano;vtn_max;inconsistencia_na_fonte
MS;8;Maracaju;Segundo;Agrícola: Grãos Diversos de Alta Capacidade;84619.00;99551.00;114485.00;83566.00;98313.00;113060.00;
MS;8;Maracaju;Segundo;Agrícola: Grãos Diversos de Média Capacidade;59778.00;70327.00;80876.00;57744.00;67934.00;78124.00;
MS;9;Corumbá;Primeiro;Pecuária: Pastagem Formada/Nativa;10876.00;12795.00;14715.00;10493.00;12345.00;14197.00;
MS;9;Corumbá;Segundo;Pecuária: Pastagem Formada de Baixa Capacidade;13727.00;16150.00;18573.00;13216.00;15548.00;17881.00;
MS;9;Corumbá;Segundo;Pecuária: Pastagem Formada de Média Capacidade;20673.00;24321.00;27969.00;23157.00;19683.00;26630.00;VTN fora de ordem
MS;9;Corumbá;Segundo;Pecuária: Pastagem Formada/Nativa - Pantanal;3505.00;4124.00;4743.00;3971.00;3375.00;4566.00;VTN fora de ordem
MS;10;Naviraí;Primeiro;Agrícola: Grãos Diversos;73956.00;87007.00;100058.00;72665.00;85488.00;98312.00;
MS;10;Naviraí;Primeiro;Pecuária: Pastagem Formada;30514.00;35900.00;41284.00;26193.00;30815.00;35437.00;
MS;10;Naviraí;Segundo;Agrícola: Grãos Diversos de Média Capacidade;35033.00;41215.00;47398.00;34084.00;40098.00;46113.00;
MS;10;Naviraí;Segundo;Agrícola: Grãos Diversos de Alta Capacidade;88082.00;103626.00;119169.00;85444.00;100523.00;115602.00;
MS;11;Nova Andradina;Primeiro;Agrícola: Grãos Diversos;45056.00;53007.00;60958.00;43206.00;50831.00;58455.00;
MS;11;Nova Andradina;Primeiro;Pecuária: Pastagem Formada;32000.00;37647.00;43294.00;29600.00;34824.00;40047.00;
MS;11;Nova Andradina;Segundo;Pecuária: Pastagem Formada de Baixa Capacidade;22641.00;26636.00;30632.00;21443.00;25228.00;29012.00;
MS;11;Nova Andradina;Segundo;Pecuária: Pastagem Formada de Média Capacidade;34433.00;40510.00;46585.00;31755.00;37359.00;42963.00;
MS;11;Nova Andradina;Segundo;Pecuária: Pastagem Formada de Alta Capacidade;39488.00;46457.00;53426.00;36015.00;42370.00;48726.00;
MS;11;Nova Andradina;Terceiro;Pecuária: Pastagem Formada de Média Capacidade em Anaurilândia/Bataguassu e Nova Andradina;34865.00;41017.00;47170.00;32000.00;37646.00;43292.00;
MS;11;Nova Andradina;Terceiro;Pecuária: Pastagem Formada de Alta Capacidade em Anaurilândia, Bataguassu e Nova Andradina;38955.00;45830.00;52704.00;35039.00;41223.00;47407.00;
MS;11;Nova Andradina;Terceiro;Pecuária: Pastagem Formada de Baixa Capacidade em Taquarussu e Batayporã;21600.00;25412.00;29224.00;20167.00;23726.00;17285.00;VTN fora de ordem
MS;11;Nova Andradina;Terceiro;Pecuária: Pastagem Formada de Média Capacidade em Taquarussu e Batayporã;32705.00;38476.00;44274.00;30800.00;36211.00;41642.00;
MS;12;Ivinhema;Primeiro;Agrícola: Grãos Diversos;40237.00;47338.00;54440.00;39635.00;46635.00;53630.00;
MS;12;Ivinhema;Primeiro;Agrícola: Cana-de-açúcar;43064.00;50663.00;58262.00;42458.00;49951.00;57443.00;
MS;12;Ivinhema;Primeiro;Pecuária: Pastagem Formada;43249.00;50881.00;58513.00;37902.00;44591.00;51280.00;
MS;12;Ivinhema;Segundo;Agrícola: Grãos Diversos de Média Capacidade;36380.00;42800.00;49220.00;35611.00;41895.00;48180.00;
MS;12;Ivinhema;Segundo;Agrícola: Grãos Diversos de Alta Capacidade;68562.00;80661.00;92760.00;68110.00;80130.00;92150.00;
MS;12;Ivinhema;Segundo;Pecuária: Pastagem Formada de Média Capacidade;42765.00;50312.00;57858.00;37617.00;44256.00;50895.00;
MS;13;Aquidauana;Primeiro;Pecuária: Pastagem Formada/Nativa;16064.00;18900.00;21734.00;15323.00;18027.00;20731.00;
